epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,16695.4,0.70002,0.5267,1.16424,0.73677,0.59603,0.65276,0.41323,1.67347,1.55658,2.20947,0.007129,0.007129,0.007129
89,16884.7,0.68951,0.52822,1.17018,0.85736,0.59705,0.67441,0.41694,1.67356,1.58983,2.20759,0.007096,0.007096,0.007096
90,17074.1,0.67983,0.51242,1.15666,0.75668,0.58447,0.6411,0.40264,1.63526,1.67502,2.1672,0.007063,0.007063,0.007063
91,17263,0.69026,0.5339,1.16322,0.75051,0.63946,0.67354,0.43197,1.67126,1.49872,2.26279,0.00703,0.00703,0.00703
92,17452,0.69216,0.51461,1.1653,0.79319,0.60009,0.66678,0.42171,1.62769,1.54598,2.21561,0.006997,0.006997,0.006997
93,17641,0.68145,0.50797,1.1617,0.80248,0.57953,0.66834,0.41873,1.66201,1.68593,2.20575,0.006964,0.006964,0.006964
94,17830.2,0.67424,0.50457,1.15524,0.81163,0.58808,0.67931,0.43362,1.65885,1.65512,2.17437,0.006931,0.006931,0.006931
95,18019.6,0.67535,0.50615,1.15279,0.86292,0.58199,0.65952,0.41591,1.64168,1.60513,2.25372,0.006898,0.006898,0.006898
96,18208.7,0.6673,0.49659,1.15074,0.83871,0.5575,0.67719,0.43751,1.61792,1.54136,2.1744,0.006865,0.006865,0.006865
97,18397.9,0.65975,0.50487,1.14444,0.75241,0.58627,0.6694,0.42539,1.65611,1.59693,2.22267,0.006832,0.006832,0.006832
98,18586.5,0.65922,0.49048,1.14136,0.86056,0.56213,0.69116,0.44057,1.61595,1.54518,2.16253,0.006799,0.006799,0.006799
99,18775.7,0.65768,0.49009,1.14467,0.85217,0.58957,0.69539,0.4332,1.68521,1.51746,2.2279,0.006766,0.006766,0.006766
100,18965,0.66119,0.49353,1.14489,0.6904,0.58361,0.65454,0.40567,1.7169,1.64219,2.28885,0.006733,0.006733,0.006733
101,19154.1,0.66017,0.48623,1.1419,0.79206,0.61251,0.66817,0.42216,1.65004,1.65134,2.14633,0.0067,0.0067,0.0067
102,19342.9,0.65987,0.48662,1.13696,0.83515,0.58591,0.69589,0.43997,1.63866,1.58478,2.1549,0.006667,0.006667,0.006667
103,19532.2,0.65807,0.48398,1.13457,0.78724,0.61452,0.675,0.42158,1.6306,1.60634,2.18726,0.006634,0.006634,0.006634
104,19720.8,0.65136,0.48377,1.1357,0.80938,0.64593,0.70176,0.43721,1.65151,1.54643,2.21554,0.006601,0.006601,0.006601
105,19909.9,0.65385,0.48721,1.13829,0.82282,0.58313,0.67206,0.41882,1.62928,1.50581,2.19951,0.006568,0.006568,0.006568
106,20098.8,0.64729,0.48489,1.12854,0.7994,0.59389,0.67964,0.42987,1.6441,1.5361,2.22495,0.006535,0.006535,0.006535
107,20287.8,0.65805,0.4804,1.13434,0.77202,0.62619,0.67989,0.43071,1.64607,1.47183,2.2645,0.006502,0.006502,0.006502
108,20476.7,0.63346,0.46994,1.12082,0.78957,0.58124,0.66649,0.4205,1.66534,1.6213,2.25321,0.006469,0.006469,0.006469
109,20666,0.64032,0.47544,1.13067,0.76063,0.594,0.6594,0.42216,1.66859,1.71891,2.26462,0.006436,0.006436,0.006436
110,20854.9,0.6235,0.46484,1.11862,0.7982,0.57966,0.67212,0.42817,1.62787,1.61363,2.23694,0.006403,0.006403,0.006403
111,21043.9,0.63427,0.46735,1.12399,0.846,0.56967,0.67394,0.42958,1.63573,1.71885,2.1901,0.00637,0.00637,0.00637
112,21233,0.6205,0.46959,1.11985,0.79905,0.60635,0.67467,0.43391,1.65646,1.66565,2.24939,0.006337,0.006337,0.006337
113,21421.8,0.633,0.46677,1.11954,0.84376,0.60327,0.69382,0.43141,1.64964,1.52757,2.2707,0.006304,0.006304,0.006304
