epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,22353.7,0.61626,0.47482,1.12897,0.80131,0.54444,0.6606,0.41872,1.63012,1.58592,2.1964,0.000181511,0.000181511,0.000181511
81,22559.9,0.62022,0.47649,1.12942,0.81221,0.5707,0.68427,0.43531,1.60197,1.52678,2.1733,0.000173264,0.000173264,0.000173264
82,22762.6,0.59655,0.45806,1.11603,0.81234,0.6015,0.70024,0.44928,1.61055,1.51011,2.189,0.000165017,0.000165017,0.000165017
83,22970.8,0.61153,0.46546,1.12928,0.7325,0.62477,0.69729,0.4386,1.61477,1.54586,2.16864,0.000156771,0.000156771,0.000156771
84,23160,0.59497,0.45989,1.12024,0.79991,0.61806,0.70529,0.44553,1.58972,1.48901,2.17586,0.000148524,0.000148524,0.000148524
85,23365.2,0.59194,0.45465,1.11463,0.78749,0.59042,0.71021,0.44701,1.60248,1.47235,2.20537,0.000140277,0.000140277,0.000140277
86,23570.7,0.58621,0.44748,1.10803,0.78254,0.59642,0.71085,0.45037,1.62338,1.48514,2.23175,0.000132031,0.000132031,0.000132031
87,24899,0.5864,0.4458,1.10634,0.81032,0.56681,0.69732,0.43899,1.61427,1.50049,2.20126,0.000123784,0.000123784,0.000123784
88,25092.9,0.57073,0.44065,1.0994,0.74751,0.5995,0.69512,0.43888,1.60625,1.55268,2.21726,0.000115537,0.000115537,0.000115537
89,25294.1,0.57281,0.43915,1.11231,0.70544,0.62813,0.68324,0.44229,1.5931,1.49524,2.2174,0.00010729,0.00010729,0.00010729
90,25492.6,0.55666,0.42995,1.09357,0.70063,0.6567,0.70858,0.45639,1.58988,1.43055,2.23567,9.90437e-05,9.90437e-05,9.90437e-05
91,25704.2,0.52197,0.28069,1.10381,0.6944,0.6244,0.69099,0.43515,1.5858,1.47562,2.18754,9.0797e-05,9.0797e-05,9.0797e-05
92,25922.6,0.50132,0.2699,1.08707,0.73743,0.62692,0.70379,0.44737,1.5619,1.42667,2.19363,8.25503e-05,8.25503e-05,8.25503e-05
93,26130.1,0.48904,0.2573,1.074,0.76255,0.59242,0.69417,0.44202,1.59481,1.47448,2.21602,7.43036e-05,7.43036e-05,7.43036e-05
94,26318.3,0.47881,0.25277,1.05832,0.70514,0.64396,0.69742,0.44666,1.60175,1.42682,2.22819,6.60569e-05,6.60569e-05,6.60569e-05
95,26506.6,0.46648,0.24954,1.04742,0.78913,0.57967,0.69884,0.45262,1.59349,1.47018,2.24344,5.78102e-05,5.78102e-05,5.78102e-05
96,26700.3,0.4572,0.24527,1.04845,0.70053,0.63731,0.69282,0.4395,1.60794,1.53499,2.23996,4.95635e-05,4.95635e-05,4.95635e-05
97,26917.4,0.45636,0.24525,1.04248,0.72748,0.64378,0.70696,0.45133,1.59353,1.46808,2.24859,4.13168e-05,4.13168e-05,4.13168e-05
98,27133.7,0.43531,0.23422,1.02601,0.71721,0.65338,0.71628,0.45451,1.5724,1.45834,2.21638,3.30701e-05,3.30701e-05,3.30701e-05
99,27344.4,0.44055,0.23696,1.03559,0.731,0.64044,0.71386,0.45711,1.56155,1.44278,2.20794,2.48234e-05,2.48234e-05,2.48234e-05
100,27532.2,0.44048,0.23787,1.03313,0.7442,0.63427,0.7122,0.45211,1.56746,1.43696,2.22692,1.65767e-05,1.65767e-05,1.65767e-05
